Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
UOR,0,0,0,0,0,0,0,
URA,0,0,0,0,0,0,0,
URU,0,0,0,0,0,0,0,
USA,0,0,0,0,0,0,0,
UTI,0,0,0,0,0,0,0,
UYG,0,0,0,0,0,0,0,
UZB,0,607437,537697,0,552424,536291,0,
VEN,1982205,490681,247861,0,0,0,0,
VIJ,3312728,585670,0,0,0,0,0,
VIN,1078049,1180371,0,0,0,0,0,
VNZ,0,0,0,0,0,0,0,
VTU,0,0,0,0,0,0,0,
WAD,0,0,0,0,0,0,0,
WAL,0,0,0,0,0,0,0,
WEI,0,0,0,0,0,0,0,
WES,0,0,0,0,0,0,0,
WHA,0,0,0,0,0,0,0,
WIA,0,0,0,0,0,0,0,
WLL,0,0,0,0,0,0,0,
WLS,0,0,0,0,0,0,0,
WOL,0,0,0,0,0,0,0,
WRI,0,0,0,0,0,0,0,
WRL,0,0,0,0,0,0,0,
WTT,0,0,0,0,0,0,0,
WUR,0,0,0,0,0,0,0,
XBI,0,0,0,0,0,0,0,
XHO,0,0,0,0,0,0,0,
XIN,0,0,0,0,0,0,0,
YAK,0,0,0,0,0,0,0,
YEM,190038,189162,183014,0,0,183766,0,
YKT,0,0,0,0,0,0,0,
YNN,0,0,0,0,0,0,0,
YUC,0,0,0,0,0,0,0,
YUG,0,0,0,0,0,0,0,
YZW,0,0,0,0,0,0,0,
ZAM,0,0,0,0,0,0,0,
ZAN,0,0,0,0,0,0,0,
ZAP,0,0,0,0,0,0,0,
ZBW,0,0,0,0,0,0,0,
ZIM,0,0,0,0,0,0,0,
ZND,190580,176779,169789,0,138993,153323,136072,
ZUL,151936,0,0,0,0,0,0,
